cbo_sum,dit_sum,lcom_sum,repo_name,stars,forks,age_years,releases,loc
2169,656,79958,jsoup,10883,2170,14.76986301369863,0,34012
4366,943,13781,eureka,12370,3739,12.164383561643836,0,32879
275,98,4359,AndroidSwipeLayout,12368,2672,10.084931506849315,0,2770
76746,12397,66753,cas,10864,3915,13.046575342465754,0,214710
447,114,12800,javapoet,10808,1371,11.643835616438356,0,7543
845,295,11534,vlayout,10801,1795,7.572602739726028,0,14042
61510,13187,726059,doris,12344,3214,7.120547945205479,0,557831
8906,2285,15963,OpenRefine,10801,1949,11.945205479452055,0,68465
3556,583,3329,spring-boot-admin,12336,3076,10.169863013698631,0,13818
3098,897,12067,dex2jar,12226,2103,9.528767123287672,0,41715
2849,695,945790,litemall,19122,7173,6.506849315068493,0,90884
6288,1541,2112,SpringBoot-Labs,18981,5970,6.03013698630137,0,17714
213,61,1107,PhotoView,18771,3916,12.189041095890412,0,1792
20716,4873,206094,SmartTube,18718,1040,4.153424657534247,0,231020
10176,2714,43578,cat,18636,5416,11.805479452054794,0,97994
651,150,78,SpringCloudLearning,17847,8057,7.463013698630137,0,1123
4701,1199,20160,dataease,17419,3174,3.638356164383562,0,34471
1837,529,10612,disruptor,17367,3918,12.008219178082191,0,13167
7,10,0,awesome-system-design-resources,17345,4165,0.9123287671232877,0,276
2358,703,20545,LSPosed,17229,2592,3.780821917808219,0,22952
2410,808,13827,tinker,17137,3334,8.04931506849315,0,39607
1209,488,7501,Algorithms,17131,4334,7.52054794520548,0,32494
373,85,60152,APIJSON,17105,2146,7.841095890410959,0,12529
13760,4102,134362,languagetool,12214,1380,11.128767123287671,0,198670
1041,255,5364,Mybatis-PageHelper,12181,3130,10.293150684931506,0,7338
9727,3456,64324,zookeeper,12157,7222,15.498630136986302,0,120867
2124,667,1850,COLA,11885,3060,6.627397260273972,0,7995
485,105,2226,uCrop,11853,2155,8.717808219178082,0,4669
466,142,2399,VasSonic,11815,1610,7.147945205479452,0,7421
5284,1517,570832,jedis,11800,3860,14.29041095890411,0,95973
2893,941,845159,mall-swarm,11696,5231,4.83013698630137,0,101603
6278,1796,17962,matrix,11577,1873,5.786301369863014,0,79032
22220,4418,1496742,metersphere,11501,2537,4.638356164383562,0,293409
3488,598,7488,cryptomator,11495,982,10.643835616438356,0,15794
8209,2319,98943,realm-java,11450,1745,12.432876712328767,0,110167
1559,407,3881,webmagic,11379,4176,11.421917808219177,0,8772
29217,7334,65168,grpc-java,11369,3818,9.794520547945206,0,243980
1296,651,2730,CtCI-6th-Edition,11291,4402,9.232876712328768,0,21093
917,237,3458,cim,9226,2839,6.345205479452055,0,7598
17288,3153,184425,lawnchair,9201,1200,7.558904109589041,0,146816
473,116,271,testing-samples,9183,3613,9.956164383561644,0,1849
39,11,65,AndroidNote,9152,2133,8.72054794520548,0,402
24488,5740,214841,storm,8839,1666,13.024657534246575,0,365496
8623,1754,32910,fresco,17072,3751,9.567123287671233,0,63248
3809,1213,31907,antlr4,16999,3262,14.64109589041096,0,40886
5169,1248,15755,zipkin,16940,3083,12.301369863013699,0,38332
321,274,886,DSA-Bootcamp-Java,16932,10912,3.147945205479452,0,6614
681,222,4038,Android-Universal-Image-Loader,16786,6104,12.827397260273973,0,7434
91,88,344,java8-tutorial,16726,4039,10.526027397260274,0,2081
2290,717,173496,zheng,16663,7381,7.972602739726027,0,41742
167,46,486,analysis-ik,16489,3265,12.778082191780822,0,2250
971,240,2406,JustAuth,16406,2760,5.646575342465753,0,5504
4901,1187,23978,mybatis-plus,16297,4297,8.101369863013698,0,31463
14005,3027,166056,material-components-android,16279,3056,7.8,0,108807
7810,1478,86944,conductor,16274,426,0.7917808219178082,0,74444
526,119,325,springboot-learning-example,16235,7128,7.63013698630137,0,1641
2579,715,33338,Sa-Token,16174,2575,4.638356164383562,0,22486
25367,3990,52732,yudao-cloud,16090,3911,5.394520547945206,0,73903
502,146,3908,JiaoZiVideoPlayer,10467,2419,8.632876712328768,0,4511
21269,4960,172458,debezium,10458,2493,8.67123287671233,0,199142
101755,15879,883763,presto,15926,5328,12.128767123287671,0,707587
3301,1371,119495,clojure,10442,1456,14.241095890410959,0,46790
5331,2057,21080,DataX,15787,5397,6.682191780821918,0,78803
4685,1943,28997,auto,10417,1201,11.342465753424657,0,31936
440,94,63,BigData-Notes,15760,4221,5.542465753424658,0,2124
0,1,0,jvm,10415,2263,6.254794520547946,0,5
6225,2025,182623,caffeine,15732,1588,9.783561643835617,0,76887
1198,276,391,SpringBoot-Learning,15700,4883,8.093150684931507,0,2790
540,150,706,Android-CleanArchitecture,15514,3319,10.098630136986301,0,2260
5735,4058,21353,VirtualXposed,15369,2479,6.813698630136987,0,47736
5956,1266,15561,Chat2DB,14895,1664,1.2575342465753425,0,32697
